score_type,analysis,n_perm,target_present_n,observed_delta,observed_wilcox_p,random_delta_mean,random_delta_sd,random_delta_q025,random_delta_q500,random_delta_q975,empirical_p_right,empirical_p_two_sided_abs,observed_delta_recalculated,observed_wilcox_p_recalculated
mean_z_module_score,all_tubular_including_control_reanalysis,5000,90,0.3323447828524353,0.0061393881438405,-0.04441671929433208,0.08368813368872592,-0.2077997804156174,-0.044954902277469476,0.11915740542815727,1.999600079984003e-4,1.999600079984003e-4,0.3323447828524353,0.0061393881438405
mean_z_module_score,glomerulus_specificity,5000,90,0.13844959557360892,0.18029048836803577,0.010326911323766615,0.06983969384086029,-0.13040251201475087,0.010919837533954022,0.14485551353075435,0.03199360127974405,0.052189562087582485,0.13844959557360892,0.18029048836803577
mean_z_module_score,primary_tubules_only,5000,90,0.34829408303164594,0.01924243693970795,-0.06693494046093423,0.08470342194695908,-0.23067787971960102,-0.06778085033326361,0.10070831706360783,1.999600079984003e-4,3.999200159968006e-4,0.34829408303164594,0.01924243693970795
rank_ssgsea_like_score,all_tubular_including_control_reanalysis,5000,90,0.1241686107132357,6.248810301386909e-4,0.014459505548110915,0.02124424426149051,-0.026601507738139265,0.014236225330625435,0.05567419767006929,1.999600079984003e-4,1.999600079984003e-4,0.12416861071323569,6.248810301386909e-4
rank_ssgsea_like_score,glomerulus_specificity,5000,90,-0.00363751718373117,0.8949059968977191,-0.021385706614605076,0.0219915365517977,-0.06552947869619635,-0.02116401719612527,0.02065686164824634,0.20915816836632672,0.9222155568886222,-0.00363751718373119,0.8949059968977191
rank_ssgsea_like_score,primary_tubules_only,5000,90,0.13991720483499118,0.00138386537756581,0.011521104808838532,0.021858512442616034,-0.03137916339485012,0.011155920427847691,0.05382173675722394,1.999600079984003e-4,1.999600079984003e-4,0.13991720483499118,0.0013838653775658108
